section_id,level,update_time,update_interval,travel_time,travel_speed
0037,4,2024-09-28 12:00:00+00:00,60,,25
0427,2,2024-09-28 12:00:00+00:00,60,,73
0089,1,2024-09-28 12:00:00+00:00,60,,90
0419,1,2024-09-28 12:00:00+00:00,60,,99
0029,4,2024-09-28 12:00:00+00:00,60,,39
0017,2,2024-09-28 12:00:00+00:00,60,,74
0003,1,2024-09-28 12:00:00+00:00,60,,86
0005,1,2024-09-28 12:00:00+00:00,60,,92
0007,1,2024-09-28 12:00:00+00:00,60,,95
0493,1,2024-09-28 12:00:00+00:00,60,,96
0234,1,2024-09-28 12:54:00+00:00,60,,98
0235,5,2024-09-28 12:54:00+00:00,60,,7
0236,1,2024-09-28 12:54:00+00:00,60,,103
2193,2,2024-09-28 12:54:00+00:00,60,,80
0001,2,2024-09-28 12:54:00+00:00,60,,70
0238,1,2024-09-28 12:54:00+00:00,60,,105
2192,1,2024-09-28 12:54:00+00:00,60,,86
0244,1,2024-09-28 12:54:00+00:00,60,,103
0245,1,2024-09-28 12:54:00+00:00,60,,104
0246,1,2024-09-28 12:54:00+00:00,60,,106
2191,1,2024-09-28 12:54:00+00:00,60,,89
0247,1,2024-09-28 12:54:00+00:00,60,,107
0237,1,2024-09-28 12:54:00+00:00,60,,101
0242,1,2024-09-28 12:54:00+00:00,60,,100
2194,1,2024-09-28 12:54:00+00:00,60,,83
0248,1,2024-09-28 12:54:00+00:00,60,,105
0209,1,2024-09-28 12:54:00+00:00,60,,89
0210,1,2024-09-28 12:54:00+00:00,60,,97
0211,5,2024-09-28 12:54:00+00:00,60,,10
0212,1,2024-09-28 12:54:00+00:00,60,,96
0213,1,2024-09-28 12:54:00+00:00,60,,89
0214,1,2024-09-28 12:54:00+00:00,60,,104
0215,1,2024-09-28 12:54:00+00:00,60,,92
0216,1,2024-09-28 12:54:00+00:00,60,,98
0218,1,2024-09-28 12:54:00+00:00,60,,101
0220,1,2024-09-28 12:54:00+00:00,60,,102
0221,1,2024-09-28 12:54:00+00:00,60,,99
2197,1,2024-09-28 12:54:00+00:00,60,,86
0226,1,2024-09-28 12:54:00+00:00,60,,99
0227,1,2024-09-28 12:54:00+00:00,60,,88
2195,1,2024-09-28 12:54:00+00:00,60,,84
